,가구원수,항목,이상치수,총샘플수,비율(%)
1,1,가계지출_소비지출_주류담배구입비,576,4374,13.17
9,1,가계지출_소비지출_교육비,571,4374,13.05
4,1,가계지출_소비지출_가정용품가사서비스이용금액,448,4374,10.24
8,1,가계지출_소비지출_오락문화비,429,4374,9.81
5,1,가계지출_소비지출_보건제품구입비,401,4374,9.17
2,1,가계지출_소비지출_의류신발구입비,342,4374,7.82
11,1,가계지출_소비지출_기타상품서비스이용금액,266,4374,6.08
6,1,가계지출_소비지출_교통비,248,4374,5.67
7,1,가계지출_소비지출_통신비,246,4374,5.62
3,1,가계지출_소비지출_주거수도광열비,139,4374,3.18
10,1,가계지출_소비지출_음식숙박비,131,4374,2.99
0,1,가계지출_소비지출_식료품비주류음료구입비,110,4374,2.51
21,2,가계지출_소비지출_교육비,948,5023,18.87
20,2,가계지출_소비지출_오락문화비,566,5023,11.27
13,2,가계지출_소비지출_주류담배구입비,546,5023,10.87
16,2,가계지출_소비지출_가정용품가사서비스이용금액,508,5023,10.11
17,2,가계지출_소비지출_보건제품구입비,411,5023,8.18
15,2,가계지출_소비지출_주거수도광열비,403,5023,8.02
14,2,가계지출_소비지출_의류신발구입비,330,5023,6.57
19,2,가계지출_소비지출_통신비,309,5023,6.15
23,2,가계지출_소비지출_기타상품서비스이용금액,309,5023,6.15
18,2,가계지출_소비지출_교통비,301,5023,5.99
22,2,가계지출_소비지출_음식숙박비,179,5023,3.56
12,2,가계지출_소비지출_식료품비주류음료구입비,146,5023,2.91
27,3,가계지출_소비지출_주거수도광열비,242,2281,10.61
28,3,가계지출_소비지출_가정용품가사서비스이용금액,221,2281,9.69
25,3,가계지출_소비지출_주류담배구입비,211,2281,9.25
32,3,가계지출_소비지출_오락문화비,186,2281,8.15
31,3,가계지출_소비지출_통신비,178,2281,7.8
29,3,가계지출_소비지출_보건제품구입비,158,2281,6.93
30,3,가계지출_소비지출_교통비,158,2281,6.93
33,3,가계지출_소비지출_교육비,140,2281,6.14
26,3,가계지출_소비지출_의류신발구입비,117,2281,5.13
35,3,가계지출_소비지출_기타상품서비스이용금액,112,2281,4.91
34,3,가계지출_소비지출_음식숙박비,56,2281,2.46
24,3,가계지출_소비지출_식료품비주류음료구입비,53,2281,2.32
39,4,가계지출_소비지출_주거수도광열비,155,1468,10.56
40,4,가계지출_소비지출_가정용품가사서비스이용금액,138,1468,9.4
44,4,가계지출_소비지출_오락문화비,124,1468,8.45
37,4,가계지출_소비지출_주류담배구입비,101,1468,6.88
41,4,가계지출_소비지출_보건제품구입비,101,1468,6.88
42,4,가계지출_소비지출_교통비,101,1468,6.88
43,4,가계지출_소비지출_통신비,101,1468,6.88
47,4,가계지출_소비지출_기타상품서비스이용금액,82,1468,5.59
38,4,가계지출_소비지출_의류신발구입비,77,1468,5.25
46,4,가계지출_소비지출_음식숙박비,38,1468,2.59
45,4,가계지출_소비지출_교육비,31,1468,2.11
36,4,가계지출_소비지출_식료품비주류음료구입비,25,1468,1.7
52,5,가계지출_소비지출_가정용품가사서비스이용금액,27,294,9.18
53,5,가계지출_소비지출_보건제품구입비,26,294,8.84
51,5,가계지출_소비지출_주거수도광열비,24,294,8.16
49,5,가계지출_소비지출_주류담배구입비,22,294,7.48
54,5,가계지출_소비지출_교통비,20,294,6.8
56,5,가계지출_소비지출_오락문화비,18,294,6.12
59,5,가계지출_소비지출_기타상품서비스이용금액,18,294,6.12
50,5,가계지출_소비지출_의류신발구입비,15,294,5.1
55,5,가계지출_소비지출_통신비,14,294,4.76
57,5,가계지출_소비지출_교육비,11,294,3.74
58,5,가계지출_소비지출_음식숙박비,8,294,2.72
48,5,가계지출_소비지출_식료품비주류음료구입비,4,294,1.36
62,6,가계지출_소비지출_의류신발구입비,3,30,10.0
63,6,가계지출_소비지출_주거수도광열비,3,30,10.0
65,6,가계지출_소비지출_보건제품구입비,3,30,10.0
66,6,가계지출_소비지출_교통비,3,30,10.0
64,6,가계지출_소비지출_가정용품가사서비스이용금액,2,30,6.67
70,6,가계지출_소비지출_음식숙박비,2,30,6.67
61,6,가계지출_소비지출_주류담배구입비,1,30,3.33
67,6,가계지출_소비지출_통신비,1,30,3.33
69,6,가계지출_소비지출_교육비,1,30,3.33
71,6,가계지출_소비지출_기타상품서비스이용금액,1,30,3.33
60,6,가계지출_소비지출_식료품비주류음료구입비,0,30,0.0
68,6,가계지출_소비지출_오락문화비,0,30,0.0
78,7,가계지출_소비지출_교통비,2,6,33.33
73,7,가계지출_소비지출_주류담배구입비,1,6,16.67
74,7,가계지출_소비지출_의류신발구입비,1,6,16.67
77,7,가계지출_소비지출_보건제품구입비,1,6,16.67
72,7,가계지출_소비지출_식료품비주류음료구입비,0,6,0.0
