,조사연월,가구구분코드,가구원수,취업인원수,노인가구여부,가구주_연령,가구주_학력코드,가구주_취업여부,가구주_10차산업분류코드,거처구분코드,입주형태코드,전국전체가구_1인이상소득10분위코드,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드
0,202400.0,1.0,1.0,1.0,0.0,17.0,4.0,1.0,I,1.0,6.0,3.0,3.0,1487073.0,1405480.0,215127.0,0.0,15600.0,536483.0,40350.0,9315.0,291120.0,40500.0,39428.0,0.0,119950.0,97608.0,1.0
1,202400.0,1.0,1.0,1.0,0.0,19.0,4.0,1.0,C,1.0,3.0,3.0,3.0,2292209.0,1300155.0,71202.0,3767.0,,304725.0,22470.0,43533.0,144730.0,,98853.0,0.0,414866.0,102402.0,1.0
2,202400.0,1.0,1.0,1.0,0.0,19.0,4.0,1.0,C,1.0,6.0,5.0,4.0,2972954.0,2486679.0,98150.0,75400.0,299209.0,514498.0,78571.0,55788.0,100373.0,39015.0,278475.0,105000.0,647875.0,194326.0,0.0
3,202400.0,1.0,1.0,1.0,0.0,19.0,4.0,1.0,R,1.0,3.0,5.0,4.0,1690479.0,914477.0,60333.0,0.0,19810.0,532390.0,10658.0,7250.0,32263.0,1020.0,41695.0,0.0,195983.0,13075.0,0.0
4,202400.0,1.0,1.0,1.0,0.0,19.0,5.0,,G,1.0,6.0,2.0,2.0,1623590.0,1560160.0,112000.0,108000.0,0.0,600490.0,0.0,0.0,62000.0,39600.0,21070.0,0.0,605000.0,12000.0,1.0
5,202400.0,1.0,1.0,1.0,0.0,19.0,6.0,1.0,,1.0,4.0,1.0,2.0,1223134.0,1164044.0,155235.0,1650.0,188614.0,111090.0,8580.0,18600.0,120248.0,80066.0,71320.0,0.0,227170.0,181472.0,1.0
6,202400.0,1.0,1.0,1.0,0.0,19.0,6.0,1.0,P,4.0,4.0,1.0,1.0,823681.0,818056.0,173915.0,2250.0,20550.0,109335.0,18250.0,11150.0,73053.0,9175.0,59299.0,30000.0,285843.0,25238.0,1.0
7,202400.0,1.0,1.0,1.0,0.0,20.0,4.0,1.0,S,1.0,6.0,3.0,3.0,1414130.0,1165780.0,64370.0,9900.0,5000.0,,0.0,0.0,137710.0,73000.0,2500.0,0.0,299100.0,36400.0,1.0
8,202400.0,1.0,1.0,1.0,0.0,20.0,5.0,1.0,G,6.0,6.0,2.0,2.0,1331565.0,1330315.0,80787.0,0.0,131058.0,450300.0,10947.0,23067.0,88597.0,1233.0,71180.0,0.0,313642.0,159505.0,1.0
9,,1.0,1.0,1.0,0.0,20.0,6.0,1.0,G,1.0,6.0,1.0,2.0,1038954.0,1035172.0,51400.0,0.0,31099.0,437112.0,,0.0,157148.0,78140.0,42817.0,,148235.0,79513.0,1.0
10,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,I,1.0,6.0,1.0,1.0,1606094.0,1593594.0,143875.0,9500.0,24200.0,520605.0,9343.0,10025.0,232177.0,49000.0,105694.0,0.0,455964.0,33213.0,1.0
11,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,I,1.0,6.0,1.0,1.0,543240.0,520893.0,43450.0,23833.0,0.0,316677.0,9667.0,2333.0,28767.0,0.0,17167.0,0.0,,17136.0,1.0
12,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,I,1.0,6.0,1.0,2.0,1307697.0,1307697.0,178515.0,690.0,54850.0,281855.0,2995.0,4100.0,45815.0,310000.0,163167.0,0.0,99492.0,166220.0,1.0
13,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,I,1.0,6.0,2.0,2.0,874790.0,874790.0,27200.0,,335000.0,0.0,18700.0,41000.0,27990.0,0.0,68400.0,0.0,186100.0,170400.0,1.0
14,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,I,1.0,7.0,1.0,2.0,973249.0,953249.0,133480.0,0.0,45350.0,347540.0,9730.0,32665.0,53415.0,10000.0,74590.0,0.0,178500.0,67979.0,0.0
15,202400.0,1.0,1.0,1.0,0.0,20.0,6.0,1.0,P,1.0,6.0,1.0,2.0,958510.0,958510.0,6500.0,0.0,0.0,542690.0,7000.0,15000.0,83000.0,0.0,21570.0,0.0,253800.0,28950.0,1.0
